doc_id,term_density,numeric_density,abbreviation_ratio,redundancy_ratio,sentence_length_cv,short_sentence_ratio,long_sentence_ratio,question_ratio,formulaic_open_ratio,avg_word_length
https://doi.org/10.1002/maco.201709703,0.04375,0.3333333333333333,0.0875,0.00625,0.31942330847951594,0.0,0.16666666666666666,0.0,0.0,5.18125
https://doi.org/10.1002/maco.201609336,0.006535947712418301,0.16666666666666666,0.032679738562091505,0.013071895424836602,0.22950391981803187,0.0,0.16666666666666666,0.0,0.16666666666666666,5.503267973856209
https://doi.org/10.1002/maco.201609341,0.02,0.3333333333333333,0.03,0.01,0.4636809247747851,0.0,0.3333333333333333,0.0,0.0,5.7
https://doi.org/10.1002/maco.201709756,0.056818181818181816,0.3333333333333333,0.022727272727272728,0.011363636363636364,0.2525694405783281,0.0,0.3333333333333333,0.0,0.0,5.909090909090909
https://doi.org/10.1002/maco.201609202,0.034482758620689655,0.0,0.0,0.0,0.377564774842686,0.0,0.125,0.0,0.0,5.977011494252873
https://doi.org/10.1002/maco.201609343,0.06306306306306306,0.75,0.018018018018018018,0.009009009009009009,0.3756875578737485,0.0,0.25,0.0,0.25,5.36036036036036
https://doi.org/10.1002/maco.201709727,0.018292682926829267,0.14285714285714285,0.006097560975609756,0.006097560975609756,0.48765241519834657,0.0,0.14285714285714285,0.0,0.0,5.591463414634147
https://doi.org/10.1002/maco.201709647,0.017543859649122806,0.5,0.021929824561403508,0.0043859649122807015,0.4217829922867125,0.0,0.25,0.0,0.0,5.0964912280701755
https://doi.org/10.1002/maco.201609313,0.029850746268656716,0.6,0.0,0.007462686567164179,0.6676498282491056,0.2,0.2,0.0,0.0,6.007462686567164
https://doi.org/10.1002/maco.201709602,0.029197080291970802,0.2,0.0,0.0072992700729927005,0.6481981977895862,0.0,0.2,0.0,0.0,4.759124087591241
https://doi.org/10.1002/maco.201709521,0.01098901098901099,0.07142857142857142,0.0,0.005494505494505495,0.2892845402436963,0.0,0.0,0.0,0.07142857142857142,5.351648351648351
https://doi.org/10.1002/maco.201709929,0.013888888888888888,0.14285714285714285,0.09027777777777778,0.0,0.4887823431879937,0.0,0.14285714285714285,0.0,0.0,5.930555555555555
https://doi.org/10.1002/maco.201609350,0.014705882352941176,0.0,0.03676470588235294,0.007352941176470588,0.4308848624701062,0.0,0.2,0.0,0.0,5.639705882352941
