doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2024.112174,Plasma sprayed duplex ytterbium disilicate/monosilicate EBCs and the transformation from ytterbia to ytterbium monosilicate during burner rig testing,2024,15,True,article
https://doi.org/10.1016/j.corsci.2023.111047,Tribocorrosion at metal-on-metal contacts: The contributing role of geometry and material combination,2023,14,True,article
https://doi.org/10.1016/j.corsci.2024.112271,Monitoring atmospheric corrosion under multi-droplet conditions by electrical resistance sensor measurement,2024,14,True,article
https://doi.org/10.1016/j.corsci.2024.112329,Effect of reactive elements in MCrAlX bond coat for durability improvement of thermal barrier coatings,2024,14,True,article
https://doi.org/10.1016/j.corsci.2024.112396,On the rate determining step of cathodic delamination of delamination-resistant organic coatings,2024,14,True,article
https://doi.org/10.1016/j.corsci.2024.112417,Investigating variations in hydrogen-assisted crack propagation of X52 pipeline steel with different microstructural characteristics,2024,14,True,article
https://doi.org/10.1016/j.corsci.2024.112459,Chemical and structural durability of α-Al2O3 and γ-LiAlO2 layers formed on ODS FeCrAl alloys in liquid lithium lead stirred flow,2024,14,True,article
https://doi.org/10.1016/j.corsci.2025.112719,Enhanced oxidation resistance of additively manufactured Inconel 718 superalloy by surface mechanical attrition treatment,2025,14,True,article
https://doi.org/10.1016/j.corsci.2025.113039,Corrosion behaviour of 316L stainless steel under stress in artificial seawater droplet exposure at elevated temperature and humidity,2025,14,True,article
https://doi.org/10.1016/j.corsci.2023.111410,Sulphur diffusion through a growing chromia scale and effects of water vapour,2023,13,True,article
https://doi.org/10.1016/j.corsci.2024.112354,New insights into the corrosion of orthopedic Ti-6Al-4V under cathodic polarization,2024,13,True,article
https://doi.org/10.1016/j.corsci.2024.112556,"An empirical model of the kinetics of hydrogen-induced cracking in pipeline steel, using statistical distribution models and considering microstructural characteristics and hydrogen diffusion parameters",2024,13,True,article
https://doi.org/10.1016/j.corsci.2025.112799,Microbial corrosion of high manganese austenitic steel by a sulfate reducing bacterium dominated by extracellular electron transfer and intergranular effect,2025,13,True,article
